latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-36.617,142.314,317.6,4.6,2,2020-04-25,0125,T,46,6.0NRT,282.6,127.5,D
-12.936,141.673,317.3,2.2,1.4,2020-04-25,0120,T,49,6.0NRT,303.3,26.8,D
-12.946,141.651,317.1,2.2,1.4,2020-04-25,0120,T,53,6.0NRT,301.6,24.6,D
-12.949,141.671,330.4,2.2,1.4,2020-04-25,0120,T,85,6.0NRT,301.3,71.6,D
-12.947,141.666,333.2,2.2,1.4,2020-04-25,0120,T,87,6.0NRT,302.2,82.5,D
-12.923,133.631,339.2,1.1,1,2020-04-25,0120,T,88,6.0NRT,306.2,32.6,D
-12.925,133.64,346.3,1.1,1,2020-04-25,0120,T,92,6.0NRT,306.3,45.6,D
-12.926,133.65,356.8,1.1,1,2020-04-25,0120,T,98,6.0NRT,307.2,70.5,D
-12.974,133.666,335.3,1.1,1,2020-04-25,0120,T,85,6.0NRT,308.9,26,D
-12.975,133.676,329.1,1.1,1,2020-04-25,0120,T,74,6.0NRT,305.7,17,D
-12.73,131.028,317.8,1.5,1.2,2020-04-25,0120,T,61,6.0NRT,301.1,12.6,D
-12.733,131.042,328.5,1.5,1.2,2020-04-25,0120,T,79,6.0NRT,302.3,32.2,D
-12.725,131.037,328.3,1.5,1.2,2020-04-25,0120,T,79,6.0NRT,302.6,31.8,D
-13.13,132.771,320.1,1.1,1.1,2020-04-25,0120,T,40,6.0NRT,306.6,7.5,D
-13.404,133.701,323.8,1,1,2020-04-25,0120,T,56,6.0NRT,304.1,11,D
-13.412,133.69,320.4,1,1,2020-04-25,0120,T,29,6.0NRT,303.5,7.4,D
-13.445,133.551,320.4,1.1,1,2020-04-25,0120,T,62,6.0NRT,305.2,8.7,D
-13.516,133.101,321.3,1.1,1,2020-04-25,0120,T,63,6.0NRT,307.8,9.9,D
-13.642,133.16,324.2,1.1,1,2020-04-25,0120,T,71,6.0NRT,307.2,10.6,D
-13.637,133.069,322.4,1.1,1,2020-04-25,0120,T,26,6.0NRT,306.4,9.3,D
-13.65,133.087,328.3,1.1,1,2020-04-25,0120,T,77,6.0NRT,308.4,16.2,D
-13.756,133.115,319.6,1.1,1,2020-04-25,0120,T,59,6.0NRT,305.6,8,D
-13.805,133.188,323.8,1.1,1,2020-04-25,0120,T,52,6.0NRT,307,10.1,D
-13.8,133.112,322.2,1.1,1,2020-04-25,0120,T,66,6.0NRT,305.8,10.8,D
-13.801,133.122,320.3,1.1,1,2020-04-25,0120,T,61,6.0NRT,306,8.8,D
